test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.081753,0.17,0.33,0.65,1.32,2.61,5.25,10.5,20.96,41.66,82.85,154.7,171.76,195.29,196.96,197.2,197.37,197.44,197.48,197.48,197.52,197.52,186.02
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.077307,0.16,0.33,0.66,1.3,2.61,5.25,10.47,20.87,41.78,83.28,161.26,205.81,208.25,209.09,209.18,209.35,209.36,209.42,209.46,209.45,205.28,171.22
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.084659,0.17,0.34,0.7,1.38,2.77,5.49,11.08,22.02,45.68,93.78,195.5,206.92,208.23,209.04,209.23,209.35,209.41,209.44,209.44,209.46,204.07,171.23
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.079635,0.17,0.33,0.67,1.33,2.66,5.31,10.57,21.08,42.0,83.53,161.74,205.81,208.22,209.0,209.28,209.36,209.38,209.42,209.44,209.46,203.3,171.21
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.081043,0.17,0.33,0.66,1.32,2.65,5.26,10.61,21.12,42.15,83.51,163.66,205.82,208.21,209.08,209.27,209.34,209.38,209.45,209.46,209.47,204.24,171.16
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.07689,0.16,0.31,0.63,1.25,2.51,5.0,9.95,19.94,39.95,79.55,155.0,199.61,202.14,202.58,202.82,202.88,202.87,202.96,202.95,202.93,197.77,169.96
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.085021,0.17,0.35,0.7,1.39,2.79,5.57,11.06,22.11,45.84,94.24,191.85,199.8,202.03,202.61,202.8,202.83,202.87,202.92,202.93,202.94,197.36,170.04
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.079022,0.16,0.33,0.65,1.31,2.6,5.22,10.3,20.75,41.5,82.44,161.15,199.27,202.0,202.56,202.78,202.84,202.88,202.95,202.97,202.98,197.63,169.93
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.081423,0.17,0.33,0.67,1.32,2.66,5.25,10.57,21.01,41.94,83.51,161.39,199.83,201.85,202.59,202.78,202.9,202.92,202.94,202.97,203.01,198.52,169.94
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.081909,0.17,0.33,0.67,1.32,2.66,5.3,10.65,21.14,42.26,83.89,162.9,194.92,197.22,197.82,198.02,198.06,198.19,198.16,198.15,198.21,193.59,163.84
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.084438,0.17,0.35,0.69,1.39,2.78,5.5,11.03,22.11,45.25,93.36,185.13,195.92,197.25,197.9,198.11,198.12,198.16,198.23,198.16,198.17,193.6,163.76
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.081073,0.16,0.33,0.66,1.32,2.64,5.27,10.6,21.09,41.77,83.62,159.76,195.36,197.42,197.88,198.05,198.11,198.21,198.24,198.15,198.21,193.96,163.82
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.081454,0.16,0.33,0.66,1.32,2.64,5.28,10.51,21.16,42.1,83.27,161.65,195.61,197.43,197.9,198.05,198.1,198.13,198.23,198.18,198.17,194.52,163.83
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.078803,0.16,0.32,0.64,1.29,2.57,5.11,10.27,20.57,40.88,81.6,162.37,193.21,196.51,197.26,197.4,197.39,197.5,197.51,197.55,197.55,192.2,163.57
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.084415,0.17,0.35,0.69,1.38,2.76,5.52,10.99,22.07,45.08,93.52,184.53,194.9,196.76,197.17,197.44,197.44,197.51,197.59,197.55,197.53,193.33,163.55
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.079932,0.17,0.33,0.66,1.33,2.66,5.3,10.6,21.21,42.38,83.89,161.48,194.81,196.76,197.27,197.42,197.5,197.5,197.61,197.52,197.53,192.14,163.5
ib_read_bw,9000,8,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.079571,0.16,0.33,0.65,1.3,2.6,5.18,10.38,20.65,41.41,81.98,159.5,194.71,196.47,197.25,197.47,197.43,197.54,197.55,197.52,197.55,192.42,163.52
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.082168,0.17,0.34,0.67,1.33,2.66,5.28,10.71,21.38,42.73,85.02,170.2,207.59,208.68,209.19,209.25,209.34,209.4,209.43,209.45,191.95,171.03,171.03
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.083608,0.17,0.35,0.7,1.39,2.8,5.58,11.17,22.27,45.94,95.92,200.48,208.04,208.87,209.19,209.25,209.34,209.41,209.43,209.45,192.74,171.04,171.04
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.080837,0.16,0.33,0.66,1.31,2.63,5.26,10.49,21.05,41.69,83.69,166.93,207.56,208.81,209.18,209.29,209.34,209.4,209.43,209.44,192.25,171.04,170.99
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.080841,0.16,0.33,0.66,1.31,2.63,5.22,10.52,21.05,41.82,82.1,167.72,207.57,208.82,209.17,209.29,209.33,209.38,209.43,209.45,192.46,171.02,170.96
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.077967,0.16,0.32,0.64,1.26,2.55,5.05,10.16,20.37,40.4,80.77,158.68,201.34,202.41,202.71,202.8,202.84,202.89,202.92,202.93,189.71,169.9,169.94
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.085703,0.17,0.35,0.7,1.41,2.82,5.59,11.13,22.13,45.96,94.9,196.02,201.73,202.46,202.74,202.78,202.86,202.88,202.92,202.94,189.75,169.92,169.95
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.078488,0.16,0.32,0.64,1.28,2.56,5.1,10.2,20.36,40.65,81.08,158.62,201.48,202.33,202.64,202.79,202.81,202.91,202.93,202.94,189.99,169.97,169.94
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.080382,0.16,0.33,0.66,1.31,2.62,5.22,10.39,20.92,41.79,83.24,166.5,201.17,202.37,202.71,202.78,202.84,202.93,202.92,202.93,189.65,169.96,169.94
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.077461,0.16,0.31,0.63,1.25,2.53,5.04,10.09,20.11,39.96,80.05,159.26,196.44,197.69,198.05,198.11,198.16,198.18,198.21,198.2,185.05,163.75,163.74
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.081682,0.17,0.34,0.68,1.37,2.74,5.45,10.89,21.78,44.81,90.58,192.83,196.88,197.69,198.01,198.09,198.15,198.19,198.22,198.21,184.9,163.74,163.74
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.080853,0.16,0.33,0.66,1.32,2.65,5.28,10.57,21.12,42.16,83.74,163.88,196.81,197.69,198.03,198.01,198.15,198.19,198.23,198.2,184.48,163.68,163.71
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.0785,0.16,0.32,0.64,1.28,2.55,5.12,10.19,20.32,40.75,81.32,162.57,196.51,197.63,198.02,198.09,198.14,198.19,198.2,198.25,185.4,163.72,163.73
