test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,1,peak,0.08238,0.17,0.33,0.67,1.34,2.68,5.33,10.69,21.33,43.68,88.83,187.6,196.87,197.79,197.93,197.79,197.96,198.03,198.09,198.09,184.6,163.63,163.62
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,3,avg,0.056686,0.12,0.23,0.46,0.93,1.85,3.65,7.35,14.76,29.36,54.88,118.64,102.18,136.68,161.41,177.96,186.94,194.24,195.23,198.03,184.81,163.56,163.62
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,3,peak,0.057143,0.12,0.23,0.46,0.93,1.86,3.66,7.37,14.82,29.49,58.05,118.92,181.6,187.0,189.53,191.28,191.61,194.24,195.23,198.03,184.81,163.56,163.62
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,3,avg,0.07856,0.16,0.33,0.65,1.3,2.61,5.2,10.43,20.8,28.18,58.16,30.99,136.56,195.8,196.62,192.16,194.87,196.29,196.73,197.04,187.64,163.18,163.15
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,3,peak,0.079646,0.16,0.33,0.65,1.31,2.62,5.21,10.47,20.9,29.35,60.14,121.06,194.28,195.82,196.67,195.36,195.65,196.3,196.73,197.04,187.64,163.18,163.15
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.079822,0.17,0.33,0.66,1.32,2.64,5.28,10.56,21.11,41.47,84.01,169.37,208.09,208.82,209.22,209.45,209.48,209.54,209.56,209.58,198.51,170.98,170.9
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,0,peak,0.080357,0.17,0.33,0.66,1.32,2.65,5.28,10.57,21.19,41.8,84.36,169.88,208.27,208.86,209.23,209.45,209.49,209.55,209.57,209.58,198.56,171.06,170.9
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.082568,0.17,0.34,0.68,1.35,2.7,5.38,10.74,21.5,43.91,91.02,187.44,208.24,209.11,209.5,209.28,209.5,209.56,209.6,209.6,192.6,171.26,171.23
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,1,peak,0.083141,0.17,0.34,0.68,1.36,2.71,5.41,10.79,21.58,44.1,91.47,189.53,208.27,209.16,209.53,209.31,209.51,209.56,209.6,209.6,192.6,171.26,171.23
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.079881,0.16,0.33,0.65,1.3,2.6,5.19,10.33,20.72,41.45,82.4,164.46,195.85,196.9,197.22,197.31,197.28,197.28,197.32,197.31,184.74,163.21,163.19
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,2,peak,0.080178,0.16,0.33,0.65,1.31,2.61,5.2,10.4,20.8,41.61,82.84,164.57,196.09,196.99,197.27,197.33,197.28,197.28,197.32,197.31,184.74,163.21,163.19
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,3,avg,0.056676,0.11,0.23,0.46,0.92,1.82,3.66,7.24,14.58,29.22,57.81,115.47,200.83,200.77,196.06,200.22,201.69,200.45,199.59,200.35,188.85,166.95,166.66
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,3,peak,0.056872,0.12,0.23,0.46,0.92,1.83,3.67,7.27,14.68,29.35,57.87,116.47,200.89,200.89,196.09,200.25,201.7,200.79,199.6,200.35,190.08,166.95,166.96
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.08103,0.17,0.33,0.67,1.34,2.67,5.33,10.69,21.4,42.02,85.21,170.37,197.01,197.54,197.89,198.0,198.07,198.12,198.13,198.12,194.81,163.76,163.76
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,2,peak,0.081623,0.17,0.34,0.67,1.34,2.69,5.35,10.74,21.43,42.28,85.53,170.67,197.13,197.66,197.93,198.03,198.08,198.12,198.14,198.12,194.81,163.77,163.77
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.082202,0.17,0.33,0.66,1.34,2.67,5.32,10.7,21.3,42.63,84.98,170.15,207.65,209.13,209.48,209.55,209.62,209.62,209.62,209.63,192.61,171.24,171.22
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,2,peak,0.082569,0.17,0.33,0.67,1.35,2.69,5.35,10.72,21.38,42.77,85.33,170.27,207.98,209.16,209.53,209.57,209.62,209.63,209.62,209.63,192.62,171.24,171.22
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,0,avg,0.056317,0.11,0.23,0.46,0.92,1.82,3.64,7.35,14.58,29.29,58.36,116.91,199.69,198.45,195.78,201.8,200.26,200.14,200.45,200.74,187.99,166.98,167.04
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,0,peak,0.056867,0.11,0.23,0.46,0.92,1.82,3.66,7.37,14.63,29.4,58.51,117.03,200.08,198.46,195.82,201.82,200.65,200.14,200.79,200.74,188.68,166.98,167.29
