test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.055728,0.12,0.23,0.47,0.93,1.88,3.71,7.43,8.05,17.34,37.85,65.12,69.65,71.84,73.14,73.48,73.88,74.45,73.78,73.47,72.86,72.38,72.59
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.032748,0.066901,0.13,0.27,0.54,1.07,2.13,4.28,8.55,17.01,39.11,65.31,69.22,70.87,73.32,73.9,73.95,73.85,73.93,73.2,72.74,72.52,72.57
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.05923,0.13,0.25,0.51,0.52,1.12,2.26,4.5,8.94,20.9,42.14,74.63,109.23,109.71,109.8,109.85,110.06,109.86,110.01,109.98,110.01,110.03,110.03
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.033974,0.069614,0.14,0.28,0.55,1.11,2.23,4.45,8.87,17.95,35.85,74.4,108.34,108.71,109.24,109.4,109.39,109.51,109.44,109.38,109.39,109.4,109.39
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.033267,0.068728,0.14,0.27,0.55,1.11,2.19,4.38,8.84,17.9,38.08,76.44,89.65,95.97,98.44,100.03,100.4,100.35,100.42,101.12,100.34,100.41,99.97
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.059464,0.12,0.25,0.5,1.0,2.0,3.97,7.91,15.38,31.56,61.52,83.81,90.29,96.39,96.86,97.61,101.34,97.94,100.76,101.23,100.64,99.26,100.38
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.055961,0.12,0.23,0.46,0.93,1.87,3.71,7.43,8.07,17.42,37.59,68.54,108.43,115.69,122.32,125.42,127.76,129.23,128.53,126.13,124.11,123.89,123.8
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.032868,0.077582,0.14,0.27,0.54,1.08,2.16,4.36,8.66,17.14,37.57,69.2,93.67,97.48,101.71,102.01,103.09,103.13,102.97,101.9,101.54,101.28,100.81
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.032788,0.067731,0.13,0.27,0.61,1.07,2.15,4.86,8.54,16.82,37.37,59.7,60.98,66.12,67.56,68.49,68.91,69.04,68.87,68.66,68.5,68.44,68.5
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.055116,0.12,0.23,0.47,0.94,1.85,3.73,7.45,14.88,29.13,53.03,62.21,66.34,68.41,70.57,71.25,71.58,71.14,71.46,70.53,70.63,70.29,70.41
