test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.058682,0.12,0.24,0.48,0.97,1.94,3.43,7.86,15.13,30.96,61.68,64.85,61.19,78.23,84.76,92.12,96.54,97.8,107.68,98.0,98.56,99.32,99.48
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.032392,0.067592,0.14,0.27,0.54,1.08,2.15,4.32,8.66,17.26,34.47,40.01,43.59,55.09,62.29,64.98,68.02,68.58,69.21,69.41,69.46,69.71,69.51
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.058126,0.12,0.24,0.48,0.96,1.91,3.82,7.67,15.12,30.23,33.16,32.17,42.02,54.78,59.43,64.77,66.5,67.28,67.88,68.92,68.09,68.37,67.97
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.051212,0.12,0.23,0.46,0.91,1.83,3.7,7.38,14.72,16.15,34.77,70.29,138.15,165.43,166.83,169.54,167.34,167.26,167.04,169.49,165.73,146.42,146.33
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.059172,0.12,0.24,0.48,0.97,1.94,3.85,7.8,15.82,31.66,63.04,109.09,109.8,113.14,109.18,109.42,109.25,108.73,110.11,110.03,113.34,108.6,112.38
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.031923,0.064834,0.15,0.26,0.52,1.04,2.08,3.93,8.25,16.57,30.46,72.77,58.33,65.45,71.3,70.77,72.25,72.73,74.56,73.05,76.3,72.38,74.44
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.032642,0.12,0.24,0.48,0.96,1.92,3.82,7.65,15.3,17.18,33.91,25.34,56.37,64.48,69.28,70.75,70.46,72.46,72.96,73.21,76.43,72.21,72.3
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.033444,0.070054,0.14,0.28,0.56,1.12,2.23,4.49,9.04,18.04,35.48,72.92,109.72,109.94,110.03,109.4,109.93,110.06,110.04,109.93,110.03,109.95,110.06
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.032703,0.06837,0.26,0.28,1.0,2.02,4.0,8.37,16.93,17.83,36.66,75.71,108.04,109.09,109.33,109.47,109.55,109.54,109.58,109.6,109.55,109.58,109.57
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.057099,0.12,0.24,0.49,0.98,1.96,3.88,7.81,15.62,31.64,50.97,28.21,68.32,84.14,93.92,99.75,101.58,103.11,103.58,104.57,103.99,103.63,104.83
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.058369,0.13,0.26,0.51,1.01,2.06,4.07,8.26,16.56,16.57,36.11,56.28,71.29,84.51,93.04,99.59,101.64,103.1,103.29,104.2,103.74,104.98,104.15
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.033391,0.066504,0.13,0.27,0.54,1.08,2.16,4.3,8.58,16.96,38.93,75.29,82.23,97.56,107.02,111.99,115.32,116.82,117.97,118.12,118.68,118.19,127.92
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.032508,0.12,0.24,0.49,0.98,1.96,3.9,7.92,15.96,17.16,35.3,66.07,76.8,69.41,91.51,94.93,96.66,97.75,110.61,99.15,99.38,98.55,98.01
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.033139,0.067071,0.13,0.27,0.54,1.07,2.15,4.29,8.63,17.18,28.55,40.46,53.92,59.61,64.19,66.18,67.54,66.42,68.51,68.67,68.83,69.28,68.68
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.032515,0.065986,0.13,0.27,0.53,1.05,2.12,4.25,9.03,15.63,31.33,46.3,55.01,67.7,69.4,71.82,73.25,68.92,69.31,74.35,69.41,69.1,70.67
